,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2015,,5,,0,0,0,0,,10.0,5-10,2,0,,0,Ugo Amadi,,,3,,,,,ugo-amadi-1,,0,CB,0,,,,,,,,,,,0.0,,2015,20,2.0,Oregon,25,0,,195,,,,31,15.5,FR
2016,,11,,0,0,0,0,,12.0,5-10,0,0,,0,Ugo Amadi,,,6,,,,,ugo-amadi-1,,0,DB,0,,,,,,,,,,,0.0,,2016,31,0.0,Oregon,42,0,,195,,,,0,,SO
2017,,12,,0,0,3,2,1.0,13.0,5-10,4,0,,0,Ugo Amadi,0.0,,8,,,,,ugo-amadi-1,,6,CB,0,,,,,,,,,,,1.5,,2017,31,2.5,Oregon,43,1,,195,,,,21,5.3,JR
2018,,12,,0,0,0,0,,13.0,5-10,3,2,,0,Ugo Amadi,,,8,,,,,ugo-amadi-1,,18,S,1,,,,,,,,,,,1.5,,2018,43,4.0,Oregon,55,3,,195,,,,70,23.3,SR
Career,,40,,0,0,3,2,1.0,,5-10,9,2,,0,Ugo Amadi,0.0,,25,,,,,ugo-amadi-1,,24,S,1,,,,,,,,,,,3.0,,Career,125,8.5,Oregon,165,4,,195,,,,122,13.6,
