adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,,,0,0,,,,13.0,5-9,,,,0,KJ Hamler,,,,,,,,kj-hamler-1,46,36,WR,0,,5,754,18.0,42,4,1,44,11.0,6,,,2018,,,Penn State,,6,,178,798,17.3,,,,FR
,,,0,0,,,,13.0,5-9,,,,0,KJ Hamler,,,,,,,,kj-hamler-1,69,48,WR,0,,8,904,16.1,56,13,0,43,3.3,8,,,2019,,,Penn State,,8,,178,947,13.7,,,,JR
,,,0,0,,,,,5-9,,,,0,KJ Hamler,,,,,,,,kj-hamler-1,115,84,WR,0,,13,1658,16.9,98,17,1,87,5.1,14,,,Career,,,Penn State,,14,,178,1745,15.2,,,,
