adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,0,,,,0,0,,2.0,6-2,0,0,,,Tariq Carpenter,,,0,,,,,tariq-carpenter-1,,,UT,,,,,,,,,,,,0.0,,2017,2,0.0,Georgia Tech,2,,,223,,,,0,,FR
,20,,,,1,0,,13.0,6-2,2,0,,,Tariq Carpenter,,,5,,,,,tariq-carpenter-1,,,DB,,,,,,,,,,,,0.0,,2018,35,1.5,Georgia Tech,55,,,223,,,,6,3.0,SO
,14,,,,1,0,,11.0,6-2,1,0,,,Tariq Carpenter,,,5,,,,,tariq-carpenter-1,,,DB,,,,,,,,,,,,0.0,,2019,48,2.0,Georgia Tech,62,,,223,,,,0,0.0,JR
,34,,,,2,0,,,6-2,3,0,,,Tariq Carpenter,,,10,,,,,tariq-carpenter-1,,,DB,,,,,,,,,,,,0.0,,Career,85,3.5,Georgia Tech,119,,,223,,,,6,2.0,
