adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,,,,,,,,,6-2,,,,,Carlos Davis,,,,,,,,carlos-davis-3,,,DL,,,,,,,,,,,,,,2015,,,Nebraska,,,,320,,,,,,FR
,13.0,,,,0.0,0.0,,12.0,6-2,0.0,0.0,,,Carlos Davis,,,0.0,,,,,carlos-davis-3,,,DT,,,,,,,,,,,,2.0,,2016,11.0,5.0,Nebraska,24.0,,,320,,,,0.0,,FR
,24.0,,,,0.0,0.0,,12.0,6-2,0.0,0.0,,,Carlos Davis,,,0.0,,,,,carlos-davis-3,,,DL,,,,,,,,,,,,2.5,,2017,18.0,3.5,Nebraska,42.0,,,320,,,,0.0,,SO
,14.0,,,,0.0,1.0,,11.0,6-2,0.0,0.0,,,Carlos Davis,,,5.0,,,,,carlos-davis-3,,,DL,,,,,,,,,,,,1.0,,2018,13.0,3.0,Nebraska,27.0,,,320,,,,0.0,,JR
,15.0,,,,1.0,1.0,,11.0,6-2,0.0,0.0,,,Carlos Davis,,,3.0,,,,,carlos-davis-3,,,DL,,,,,,,,,,,,4.0,,2019,17.0,4.5,Nebraska,32.0,,,320,,,,0.0,,SR
,66.0,,,,1.0,2.0,,,6-2,0.0,0.0,,,Carlos Davis,,,8.0,,,,,carlos-davis-3,,,DL,,,,,,,,,,,,9.5,,Career,59.0,16.0,Nebraska,125.0,,,320,,,,0.0,,
