adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,1,,,,0,0,,4.0,5-11,0,0,,,Antoine Brooks,,,0,,,,,antoine-brooks-1,,,LB,,,,,,,,,,,,0.0,,2016,4,0.0,Maryland,5,,,210,,,,0,,FR
,24,,,,1,0,,12.0,5-11,2,0,,,Antoine Brooks,,,1,,,,,antoine-brooks-1,,,LB,,,,,,,,,,,,1.0,,2017,53,9.5,Maryland,77,,,210,,,,0,0.0,SO
,21,,,,0,0,,12.0,5-11,1,0,,,Antoine Brooks,,,3,,,,,antoine-brooks-1,,,DB,,,,,,,,,,,,2.5,,2018,47,9.5,Maryland,68,,,210,,,,0,0.0,JR
,18,,,,0,1,,12.0,5-11,1,0,,,Antoine Brooks,,,5,,,,,antoine-brooks-1,,,DB,,,,,,,,,,,,0.0,,2019,69,8.5,Maryland,87,,,210,,,,0,0.0,SR
,64,,,,1,1,,,5-11,4,0,,,Antoine Brooks,,,9,,,,,antoine-brooks-1,,,DB,,,,,,,,,,,,3.5,,Career,173,27.5,Maryland,237,,,210,,,,0,0.0,
