adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,0,,0,0,0,0,,11.0,5-11,0,0,,0,Chris Platt,,,0,,,,,chris-platt-1,11,6,WR,0,,1,155,14.1,11,0,0,0,,1,0.0,,2015,0,0.0,Baylor,0,1,,172,155,14.1,,0,,FR
,0,,0,0,0,0,,12.0,5-11,0,0,,0,Chris Platt,,,0,,,,,chris-platt-1,36,24,WR,0,,4,567,16.2,35,1,0,8,8.0,4,0.0,,2016,1,0.0,Baylor,1,4,,172,575,16.0,,0,,SO
,0,,0,0,0,0,,4.0,5-11,0,0,,0,Chris Platt,,,0,,,,,chris-platt-1,20,30,WR,0,,5,401,25.1,16,4,0,36,9.0,5,0.0,,2017,2,0.0,Baylor,2,5,,172,437,21.9,,0,,JR
,0,,0,0,0,0,,12.0,5-11,0,0,,0,Chris Platt,,,0,,,,,chris-platt-1,38,6,WR,0,,1,511,14.2,36,2,0,31,15.5,1,0.0,,2018,0,0.0,Baylor,0,1,,172,542,14.3,,0,,SR
,0,,0,0,0,0,,11.0,5-11,0,0,,0,Chris Platt,,,0,,,,,chris-platt-1,28,12,WR,0,,1,353,14.7,24,4,1,19,4.8,2,0.0,,2019,2,0.0,Baylor,2,2,,172,372,13.3,,0,,SR
,0,,0,0,0,0,,,5-11,0,0,,0,Chris Platt,,,0,,,,,chris-platt-1,133,78,WR,0,,12,1987,16.3,122,11,1,94,8.5,13,0.0,,Career,5,0.0,Baylor,5,13,,172,2081,15.6,,0,,
