adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,4,,,,0,0,,4.0,6-4,0,0,,,Matt Lorbeck,,,1,,,,,matt-lorbeck-1,,,DE,,,,,,,,,,,,0.0,,2017,3,0.0,Northern Illinois,7,,,250,,,,0,,FR
,4,,,,1,1,,11.0,6-4,0,0,,,Matt Lorbeck,,,0,,,,,matt-lorbeck-1,,,DE,,,,,,,,,,,,3.5,,2018,17,6.5,Northern Illinois,21,,,250,,,,0,,SO
,18,,,,3,0,,11.0,6-4,0,0,,,Matt Lorbeck,,,1,,,,,matt-lorbeck-1,,,DE,,,,,,,,,,,,2.0,,2019,14,5.5,Northern Illinois,32,,,250,,,,0,,JR
,26,,,,4,1,,,6-4,0,0,,,Matt Lorbeck,,,2,,,,,matt-lorbeck-1,,,DE,,,,,,,,,,,,5.5,,Career,34,12.0,Northern Illinois,60,,,250,,,,0,,
