adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,0,0,0,0,0,0,,1.0,5-11,0,0,0,0,Rontavius Groves,,0,0,,0,0,,rontavius-groves-1,0,0,WR,0,,0,0,,0,0,0,0,,0,0.0,,2017,0,0.0,North Carolina,0,0,,195,0,,,0,,FR
0.0,0,0,0,0,0,0,,8.0,5-11,0,0,0,0,Rontavius Groves,,1,0,0.0,0,0,0.0,rontavius-groves-1,10,6,WR,0,0.0,1,183,18.3,10,0,0,0,,1,0.0,,2018,0,0.0,North Carolina,0,1,,195,183,18.3,,0,,SO
22.0,0,1,0,0,0,0,,13.0,5-11,0,0,0,0,Rontavius Groves,,1,0,100.0,1,2,2.0,rontavius-groves-1,30,6,WR,0,446.8,1,250,9.3,27,3,0,11,3.7,1,0.0,,2019,1,0.0,North Carolina,1,1,,195,261,8.7,,0,,JR
11.0,0,1,0,0,0,0,,,5-11,0,0,0,0,Rontavius Groves,,2,0,50.0,1,2,1.0,rontavius-groves-1,40,12,WR,0,223.4,2,433,11.7,37,3,0,11,3.7,2,0.0,,Career,1,0.0,North Carolina,1,2,,195,444,11.1,,0,,
