adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,1,,0,0,0,0,,13.0,5-9,0,0,,0,CJ Verdell,,,0,,,,,cj-verdell-1,229,72,RB,0,,2,315,11.7,27,202,10,1018,5.0,12,0.0,,2018,0,0.0,Oregon,1,12,,210,1333,5.8,,0,,FR
,0,,0,0,0,0,,14.0,5-9,0,0,,0,CJ Verdell,,,0,,,,,cj-verdell-1,211,48,RB,0,,0,125,8.9,14,197,8,1220,6.2,8,0.0,,2019,0,0.0,Oregon,0,9,,210,1345,6.4,,0,,SO
,1,,0,0,0,0,,,5-9,0,0,,0,CJ Verdell,,,0,,,,,cj-verdell-1,440,120,RB,0,,2,440,10.7,41,399,18,2238,5.6,20,0.0,,Career,0,0.0,Oregon,1,21,,210,2678,6.1,,0,,
