adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,1,,0,0,0,0,,13.0,5-10,0,0,,0,Jeff Thomas,,,0,,,,,jeff-thomas-6,18,12,WR,0,,2,374,22.0,17,1,0,4,4.0,2,0.0,,2017,1,0.0,Miami (FL),2,2,,174,378,21.0,,0,,FR
,0,,0,0,0,0,,11.0,5-10,0,0,,0,Jeff Thomas,,,0,,,,,jeff-thomas-6,36,24,WR,1,,3,563,16.1,35,1,0,19,19.0,3,0.0,,2018,1,0.0,Miami (FL),1,4,,174,582,16.2,,0,,SO
,0,,0,0,0,0,,10.0,5-10,0,0,,0,Jeff Thomas,,,0,,,,,jeff-thomas-6,38,18,WR,0,,3,379,12.2,31,7,0,41,5.9,3,0.0,,2019,0,0.0,Miami (FL),0,3,,174,420,11.1,,0,,JR
,1,,0,0,0,0,,,5-10,0,0,,0,Jeff Thomas,,,0,,,,,jeff-thomas-6,92,54,WR,1,,8,1316,15.9,83,9,0,64,7.1,8,0.0,,Career,2,0.0,Miami (FL),3,9,,174,1380,15.0,,0,,
