adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,3,,,,0,0,,3.0,6-5,0,0,,,Janarius Robinson,,,0,,,,,janarius-robinson-1,,,DE,,,,,,,,,,,,1.0,,2017,1,1.5,Florida State,4,,,261,,,,0,,FR
,9,,,,0,0,,10.0,6-5,0,0,,,Janarius Robinson,,,1,,,,,janarius-robinson-1,,,DE,,,,,,,,,,,,1.0,,2018,18,3.0,Florida State,27,,,261,,,,0,,SO
,24,,,,2,2,,13.0,6-5,0,0,,,Janarius Robinson,,,1,,,,,janarius-robinson-1,,,DE,,,,,,,,,,,,3.0,,2019,24,9.0,Florida State,48,,,261,,,,0,,JR
,36,,,,2,2,,,6-5,0,0,,,Janarius Robinson,,,2,,,,,janarius-robinson-1,,,DE,,,,,,,,,,,,5.0,,Career,43,13.5,Florida State,79,,,261,,,,0,,
