adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
,0,,0,0,0,0,,5.0,5-11,0,0,,0,Simi Bakare,,,0,,,,,simi-bakare-1,11,6,RB,0,,0,0,,0,11,1,53,4.8,1,0.0,,2018,2,0.0,Missouri,2,1.0,,205,53,4.8,,0,,FR
,0,,0,0,0,0,,3.0,5-11,0,0,,0,Simi Bakare,,,0,,,,,simi-bakare-1,8,0,RB,0,,0,0,,0,8,0,37,4.6,0,0.0,,2019,1,1.0,Missouri,1,,,205,37,4.6,,0,,SO
,0,,0,0,0,0,,,5-11,0,0,,0,Simi Bakare,,,0,,,,,simi-bakare-1,19,6,RB,0,,0,0,,0,19,1,90,4.7,1,0.0,,Career,3,1.0,Missouri,3,1.0,,205,90,4.7,,0,,
