,passing_touchdowns,rush_yards,pass_attempts,rush_attempts,yards_from_scrimmage,rushing_and_receiving_touchdowns,passing_yards,passing_completion,completed_passes,total_tackles,interceptions_thrown,points,total_touchdowns,plays_from_scrimmage,rush_touchdowns,games,player_id,name,team_abbreviation
35,52.0,2381.0,1106.0,557.0,2609.0,41.0,8704.0,267.8,746.0,3.0,26.0,246.0,41.0,582.0,39.0,49.0,greg-ward-jr-1,Greg Ward Jr.,Houston
36,56.0,58.0,1347.0,168.0,59.0,11.0,9313.0,232.3,807.0,1.0,37.0,66.0,11.0,169.0,11.0,43.0,matt-ryan-1,Matt Ryan,Boston College
37,50.0,972.0,1000.0,312.0,972.0,14.0,7437.0,295.8,607.0,2.0,28.0,84.0,14.0,312.0,14.0,42.0,jeff-driskel-1,Jeff Driskel,Florida
38,69.0,262.0,1429.0,264.0,310.0,14.0,9734.0,245.8,871.0,2.0,43.0,84.0,14.0,268.0,13.0,44.0,david-blough-1,David Blough,Purdue
39,131.0,1083.0,1497.0,404.0,1085.0,22.0,14607.0,273.6,1026.0,5.0,30.0,132.0,22.0,405.0,21.0,48.0,baker-mayfield-1,Baker Mayfield,Texas Tech
40,90.0,-118.0,1648.0,215.0,-117.0,5.0,12891.0,246.40000000000003,1022.0,7.0,55.0,30.0,5.0,216.0,5.0,50.0,cooper-rush-1,Cooper Rush,Central Michigan
41,95.0,96.0,1710.0,252.0,113.0,18.0,13484.0,253.60000000000002,1087.0,0.0,34.0,108.0,18.0,255.0,17.0,49.0,philip-rivers-1,Philip Rivers,North Carolina State
42,51.0,213.0,987.0,141.0,207.0,6.0,7731.0,169.8,564.0,2.0,33.0,36.0,6.0,142.0,6.0,39.0,matthew-stafford-1,Matthew Stafford,Georgia
43,66.0,-127.0,1128.0,111.0,-125.0,1.0,9131.0,265.40000000000003,723.0,4.0,30.0,6.0,1.0,112.0,1.0,45.0,kirk-cousins-1,Kirk Cousins,Michigan State
44,0.0,0.0,4.0,6.0,0.0,0.0,11.0,25.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,3.0,joe-flacco-1,Joe Flacco,Pitt
45,0.0,349.0,6.0,75.0,559.0,12.0,83.0,66.7,4.0,1.0,1.0,72.0,12.0,107.0,11.0,13.0,trey-burton-1,Trey Burton,Florida
46,71.0,1611.0,1317.0,413.0,1638.0,22.0,10314.0,246.79999999999998,812.0,1.0,30.0,132.0,22.0,414.0,22.0,50.0,andy-dalton-1,Andy Dalton,Texas Christian
47,35.0,-229.0,896.0,105.0,-205.0,2.0,6159.0,232.39999999999998,500.0,4.0,23.0,12.0,2.0,106.0,2.0,39.0,brian-hoyer-1,Brian Hoyer,Michigan State
48,57.0,332.0,846.0,137.0,332.0,7.0,7229.0,130.3,549.0,5.0,22.0,42.0,7.0,137.0,7.0,27.0,sam-darnold-1,Sam Darnold,USC
49,90.0,900.0,1678.0,253.0,914.0,16.0,11792.0,228.79999999999998,1026.0,0.0,45.0,96.0,16.0,259.0,14.0,45.0,drew-brees-1,Drew Brees,Purdue
50,105.0,2237.0,1167.0,337.0,2265.0,31.0,10796.0,200.3,779.0,2.0,14.0,186.0,31.0,339.0,29.0,41.0,marcus-mariota-1,Marcus Mariota,Oregon
51,59.0,-154.0,1170.0,109.0,-154.0,6.0,9340.0,181.9,712.0,2.0,26.0,36.0,6.0,109.0,6.0,30.0,josh-rosen-1,Josh Rosen,UCLA
52,119.0,-400.0,2054.0,251.0,-400.0,4.0,14481.0,270.5,1403.0,7.0,39.0,24.0,34.0,251.0,4.0,42.0,luke-falk-1,Luke Falk,Washington State
53,90.0,1934.0,1207.0,435.0,1934.0,26.0,10168.0,202.7,814.0,6.0,32.0,156.0,26.0,435.0,26.0,38.0,deshaun-watson-1,Deshaun Watson,Clemson
54,109.0,1421.0,1489.0,441.0,1481.0,24.0,11720.0,245.0,907.0,8.0,30.0,144.0,24.0,445.0,23.0,50.0,russell-wilson-1,Russell Wilson,North Carolina State
55,7.0,339.0,144.0,117.0,444.0,5.0,1056.0,109.1,75.0,1.0,5.0,30.0,5.0,127.0,5.0,20.0,reggie-bonnafon-1,Reggie Bonnafon,Louisville
56,45.0,1028.0,612.0,216.0,1044.0,14.0,5115.0,274.5,392.0,0.0,14.0,84.0,14.0,217.0,13.0,42.0,carson-wentz-1,Carson Wentz,North Dakota State
57,83.0,-804.0,1838.0,132.0,-798.0,2.0,13600.0,257.8,1187.0,2.0,54.0,12.0,2.0,133.0,2.0,47.0,sean-mannion-1,Sean Mannion,Oregon State
58,84.0,246.0,1304.0,269.0,246.0,7.0,10829.0,195.7,854.0,0.0,34.0,42.0,7.0,269.0,7.0,38.0,ben-roethlisberger-1,Ben Roethlisberger,Miami (OH)
59,54.0,194.0,590.0,103.0,194.0,4.0,5396.0,140.2,413.0,2.0,9.0,24.0,8.0,103.0,4.0,22.0,dwayne-haskins-1,Dwayne Haskins,Ohio State
60,65.0,284.0,851.0,145.0,284.0,7.0,7964.0,132.2,562.0,1.0,28.0,42.0,7.0,145.0,7.0,27.0,jameis-winston-1,Jameis Winston,Florida State
61,17.0,966.0,499.0,256.0,966.0,24.0,3038.0,202.9,281.0,2.0,13.0,144.0,24.0,256.0,24.0,39.0,tyrone-swoopes-1,Tyrone Swoopes,Texas
62,43.0,2815.0,1047.0,534.0,2815.0,32.0,6929.0,301.3,609.0,2.0,31.0,192.0,32.0,534.0,32.0,37.0,taysom-hill-1,Taysom Hill,Brigham Young
63,0.0,6.0,2.0,2.0,164.0,0.0,27.0,50.0,1.0,1.0,0.0,0.0,0.0,15.0,0.0,7.0,jakobi-meyers-1,Jakobi Meyers,North Carolina State
64,27.0,201.0,664.0,198.0,201.0,4.0,4022.0,151.0,340.0,0.0,34.0,24.0,4.0,198.0,4.0,30.0,josh-mccown-1,Josh McCown,SMU
65,101.0,970.0,1609.0,364.0,970.0,10.0,12515.0,262.20000000000005,1094.0,3.0,41.0,60.0,10.0,364.0,10.0,51.0,chase-daniel-1,Chase Daniel,Missouri
66,52.0,1323.0,1275.0,406.0,1329.0,17.0,8201.0,180.0,764.0,2.0,29.0,102.0,17.0,408.0,17.0,36.0,daniel-jones-4,Daniel Jones,Duke
67,81.0,-135.0,1363.0,128.0,-141.0,5.0,10119.0,232.4,829.0,0.0,35.0,30.0,5.0,129.0,5.0,43.0,eli-manning-1,Eli Manning,Ole Miss
68,44.0,767.0,649.0,237.0,773.0,13.0,5066.0,179.0,365.0,4.0,21.0,78.0,13.0,239.0,12.0,27.0,josh-allen-7,Josh Allen,Wyoming
69,78.0,2254.0,1192.0,528.0,2278.0,33.0,10366.0,264.5,800.0,1.0,17.0,198.0,33.0,531.0,33.0,41.0,robert-griffin-iii-1,Robert Griffin III,Baylor
70,2.0,316.0,99.0,79.0,513.0,9.0,542.0,52.5,52.0,0.0,5.0,54.0,9.0,100.0,7.0,11.0,randall-cobb-1,Randall Cobb,Kentucky
71,63.0,382.0,1461.0,214.0,400.0,5.0,11147.0,303.0,938.0,0.0,30.0,30.0,5.0,216.0,5.0,46.0,ryan-finley-1,Ryan Finley,Boise State
72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zach-gentry-2,Zach Gentry,Michigan
73,72.0,170.0,1142.0,226.0,170.0,6.0,9817.0,204.0,781.0,1.0,24.0,36.0,6.0,226.0,6.0,39.0,teddy-bridgewater-1,Teddy Bridgewater,Louisville
74,49.0,1013.0,1548.0,295.0,1013.0,20.0,9761.0,272.4,908.0,4.0,45.0,120.0,20.0,295.0,20.0,47.0,garrett-gilbert-1,Garrett Gilbert,Texas
75,41.0,439.0,572.0,120.0,447.0,8.0,4762.0,206.89999999999998,386.0,1.0,10.0,48.0,8.0,121.0,8.0,31.0,mitch-trubisky-1,Mitch Trubisky,North Carolina
76,56.0,58.0,1069.0,132.0,58.0,5.0,7502.0,284.40000000000003,716.0,0.0,26.0,30.0,5.0,132.0,5.0,40.0,matt-schaub-1,Matt Schaub,Virginia
77,48.0,224.0,848.0,211.0,224.0,9.0,7217.0,196.0,545.0,0.0,13.0,54.0,9.0,211.0,9.0,37.0,jarrett-stidham-1,Jarrett Stidham,Baylor
78,56.0,-342.0,1396.0,149.0,-327.0,1.0,9026.0,241.2,836.0,3.0,35.0,6.0,1.0,150.0,1.0,42.0,ryan-griffin-2,Ryan Griffin,Tulane
79,69.0,4132.0,1086.0,655.0,4132.0,50.0,9043.0,170.0,619.0,6.0,27.0,300.0,50.0,655.0,50.0,38.0,lamar-jackson-1,Lamar Jackson,Louisville
