,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
180,33.0,112.0,5.0,101.0,213.0,10.0,1.0,0.0,9.0,32.0,tremaine-edmunds-1,Tremaine Edmunds,Virginia Tech
181,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,andrew-beck-1,Andrew Beck,Texas
182,17.5,77.0,10.0,79.0,156.0,7.5,1.0,1.0,24.0,33.0,corey-nelson-2,Corey Nelson,Oklahoma
184,41.0,143.0,2.0,148.0,291.0,14.5,0.0,0.0,0.0,46.0,marquel-lee-1,Marquel Lee,Wake Forest
186,22.5,135.0,6.0,113.0,248.0,5.5,2.0,0.0,19.0,42.0,jordan-hicks-1,Jordan Hicks,Texas
187,26.0,308.0,7.0,168.0,476.0,10.0,5.0,1.0,71.0,52.0,eric-kendricks-1,Eric Kendricks,UCLA
188,14.5,159.0,1.0,192.0,351.0,4.0,3.0,0.0,41.0,46.0,hardy-nickerson-1,Hardy Nickerson,California
189,20.0,212.0,6.0,139.0,351.0,5.0,14.0,1.0,174.0,50.0,skai-moore-1,Skai Moore,South Carolina
190,0.5,2.0,0.0,1.0,3.0,0.5,0.0,0.0,0.0,10.0,brandon-graham-1,Brandon Graham,Michigan
192,34.5,153.0,7.0,101.0,254.0,9.5,3.0,0.0,8.0,52.0,stephone-anthony-1,Stephone Anthony,Clemson
193,15.0,62.0,3.0,43.0,105.0,5.5,2.0,0.0,5.0,34.0,leon-jacobs-1,Leon Jacobs,Wisconsin
194,24.5,150.0,10.0,135.0,285.0,11.5,2.0,0.0,-2.0,27.0,lavonte-david-1,Lavonte David,Nebraska
195,3.0,27.0,0.0,21.0,48.0,2.0,0.0,0.0,0.0,13.0,jamie-collins-1,Jamie Collins,Southern Mississippi
196,15.0,117.0,19.0,61.0,178.0,1.0,4.0,1.0,111.0,29.0,myles-jack-1,Myles Jack,UCLA
197,28.5,200.0,2.0,245.0,445.0,4.5,4.0,0.0,51.0,48.0,bobby-wagner-1,Bobby Wagner,Utah State
199,28.5,184.0,8.0,173.0,357.0,8.5,3.0,1.0,69.0,45.0,ulysees-gilbert-iii-1,Ulysees Gilbert III,Akron
201,27.0,147.0,2.0,84.0,231.0,5.5,3.0,0.0,106.0,43.0,nigel-harris-1,Nigel Harris,South Florida
202,33.5,90.0,10.0,64.0,154.0,13.0,1.0,0.0,14.0,35.0,joe-schobert-1,Joe Schobert,Wisconsin
204,39.5,68.0,3.0,60.0,128.0,19.0,1.0,1.0,26.0,44.0,ryan-anderson-1,Ryan Anderson,Alabama
205,17.5,116.0,11.0,169.0,285.0,7.0,1.0,0.0,0.0,40.0,jason-cabinda-1,Jason Cabinda,Penn State
206,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,trent-sieg-2,Trent Sieg,Colorado State
208,3.0,14.0,0.0,12.0,26.0,0.5,0.0,0.0,0.0,9.0,romeo-okwara-1,Romeo Okwara,Notre Dame
209,3.5,69.0,0.0,38.0,107.0,3.0,0.0,0.0,0.0,23.0,jake-matthews-2,Jake Matthews,Arizona
210,18.5,81.0,1.0,125.0,206.0,5.0,1.0,0.0,4.0,37.0,kevin-minter-1,Kevin Minter,LSU
211,20.0,181.0,7.0,180.0,361.0,3.0,5.0,4.0,265.0,51.0,aj-klein-1,A.J. Klein,Iowa State
212,17.0,148.0,3.0,116.0,264.0,7.5,4.0,0.0,67.0,33.0,jordan-kunaszyk-1,Jordan Kunaszyk,California
213,35.5,299.0,0.0,233.0,532.0,2.5,7.0,2.0,130.0,38.0,luke-kuechly-1,Luke Kuechly,Boston College
214,8.5,90.0,5.0,97.0,187.0,2.0,2.0,0.0,101.0,27.0,andre-smith-7,Andre Smith,North Carolina
216,19.5,122.0,7.0,121.0,243.0,7.5,0.0,0.0,0.0,26.0,benardrick-mckinney-1,Benardrick McKinney,Mississippi State
217,36.0,156.0,6.0,100.0,256.0,6.0,0.0,0.0,0.0,32.0,zach-cunningham-1,Zach Cunningham,Vanderbilt
218,31.0,201.0,6.0,194.0,395.0,7.5,1.0,1.0,30.0,43.0,azeez-al-shaair-1,Azeez Al-Shaair,Florida Atlantic
