,solo_tackles,assists_on_tackles,total_tackles,interceptions,interceptions_returned_for_touchdown,yards_returned_from_interceptions,games,player_id,name,team_abbreviation
259,72.0,25.0,97.0,3.0,0.0,32.0,26.0,fabian-moreau-1,Fabian Moreau,UCLA
260,151.0,44.0,195.0,6.0,0.0,57.0,50.0,desmond-trufant-1,Desmond Trufant,Washington
261,140.0,41.0,181.0,8.0,1.0,86.0,40.0,stephon-gilmore-1,Stephon Gilmore,South Carolina
263,74.0,24.0,98.0,1.0,0.0,22.0,24.0,curtis-riley-1,Curtis Riley,Fresno State
264,86.0,58.0,144.0,7.0,1.0,108.0,27.0,terrance-mitchell-1,Terrance Mitchell,Oregon
265,61.0,10.0,71.0,3.0,0.0,0.0,29.0,ahkello-witherspoon-1,Ahkello Witherspoon,Colorado
266,5.0,6.0,11.0,0.0,0.0,0.0,0.0,corey-thompson-3,Corey Thompson,LSU
267,67.0,22.0,89.0,4.0,1.0,42.0,25.0,blessuan-austin-1,Blessuan Austin,Rutgers
268,82.0,28.0,110.0,4.0,0.0,40.0,35.0,donte-jackson-1,Donte Jackson,LSU
269,62.0,26.0,88.0,4.0,0.0,40.0,25.0,tredavious-white-1,Tre'Davious White,LSU
271,83.0,44.0,127.0,4.0,1.0,52.0,24.0,doug-middleton-1,Doug Middleton,Appalachian State
273,55.0,28.0,83.0,1.0,0.0,0.0,16.0,ahmad-thomas-1,Ahmad Thomas,Oklahoma
275,70.0,30.0,100.0,8.0,0.0,14.0,26.0,quandre-diggs-1,Quandre Diggs,Texas
276,67.0,20.0,87.0,0.0,0.0,0.0,21.0,nick-nelson-2,Nick Nelson,Hawaii
277,18.0,12.0,30.0,0.0,0.0,0.0,21.0,josh-mauro-1,Josh Mauro,Stanford
278,216.0,102.0,318.0,9.0,2.0,147.0,42.0,andrew-sendejo-1,Andrew Sendejo,Rice
279,136.0,47.0,183.0,8.0,2.0,63.0,43.0,avonte-maddox-1,Avonte Maddox,Pitt
280,29.0,14.0,43.0,7.0,0.0,52.0,23.0,tramon-williams-1,Tramon Williams,Louisiana Tech
281,67.0,53.0,120.0,5.0,0.0,92.0,24.0,nathan-gerry-1,Nathan Gerry,Nebraska
282,121.0,67.0,188.0,8.0,1.0,60.0,35.0,tre-boston-1,Tre Boston,North Carolina
283,116.0,74.0,190.0,6.0,0.0,31.0,43.0,rodney-mcleod-1,Rodney McLeod,Virginia
284,117.0,55.0,172.0,6.0,0.0,-6.0,40.0,rashaan-melvin-1,Rashaan Melvin,Northern Illinois
285,106.0,76.0,182.0,6.0,0.0,80.0,41.0,antone-exum-1,Antone Exum,Virginia Tech
287,138.0,38.0,176.0,10.0,2.0,147.0,38.0,josh-robinson-1,Josh Robinson,UCF
288,110.0,64.0,174.0,7.0,1.0,112.0,42.0,ronnie-harrison-1,Ronnie Harrison,Alabama
289,59.0,40.0,99.0,3.0,0.0,12.0,27.0,jordan-richards-2,Jordan Richards,Stanford
290,98.0,55.0,153.0,13.0,3.0,243.0,49.0,jordan-poyer-1,Jordan Poyer,Oregon State
