,rush_yards,points,receiving_touchdowns,solo_tackles,yards_from_scrimmage,total_touchdowns,plays_from_scrimmage,receptions,receiving_yards,rush_attempts,total_tackles,rush_touchdowns,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
106,3922.0,198.0,10.0,4.0,5128.0,33.0,731.0,99.0,1206.0,632.0,7.0,21.0,31.0,37.0,christian-mccaffrey-1,Christian McCaffrey,Stanford
107,2027.0,162.0,9.0,1.0,2921.0,27.0,365.0,65.0,894.0,300.0,1.0,17.0,26.0,25.0,joe-mixon-1,Joe Mixon,Oklahoma
108,2594.0,198.0,6.0,12.0,3401.0,33.0,562.0,76.0,807.0,486.0,14.0,27.0,33.0,48.0,brandon-bolden-1,Brandon Bolden,Ole Miss
109,3205.0,330.0,11.0,4.0,4294.0,55.0,674.0,103.0,1089.0,571.0,5.0,44.0,55.0,34.0,jeremy-mcnichols-1,Jeremy McNichols,Boise State
110,1071.0,78.0,0.0,2.0,1183.0,13.0,259.0,11.0,112.0,248.0,2.0,13.0,13.0,18.0,peyton-barber-1,Peyton Barber,Auburn
111,5323.0,372.0,5.0,3.0,5788.0,62.0,1010.0,65.0,465.0,945.0,3.0,57.0,62.0,52.0,myles-gaskin-1,Myles Gaskin,Washington
112,3074.0,192.0,3.0,5.0,3324.0,32.0,503.0,32.0,250.0,471.0,11.0,29.0,32.0,35.0,derrius-guice-1,Derrius Guice,LSU
113,3336.0,180.0,2.0,1.0,3998.0,30.0,641.0,80.0,662.0,561.0,2.0,28.0,30.0,43.0,david-fluellen-1,David Fluellen,Toledo
115,2321.0,132.0,6.0,4.0,2666.0,22.0,432.0,26.0,345.0,406.0,4.0,16.0,22.0,36.0,jonathan-williams-2,Jonathan Williams,Arkansas
116,3901.0,216.0,1.0,4.0,4468.0,36.0,786.0,60.0,567.0,726.0,4.0,35.0,36.0,43.0,jamaal-williams-1,Jamaal Williams,Brigham Young
118,549.0,60.0,2.0,2.0,643.0,10.0,116.0,9.0,94.0,107.0,4.0,8.0,10.0,31.0,rod-smith-5,Rod Smith,Ohio State
120,4915.0,294.0,4.0,4.0,5143.0,49.0,653.0,22.0,228.0,631.0,5.0,45.0,49.0,45.0,melvin-gordon-1,Melvin Gordon,Wisconsin
121,390.0,138.0,17.0,4.0,2514.0,23.0,212.0,174.0,2124.0,38.0,4.0,3.0,20.0,39.0,tavon-austin-1,Tavon Austin,West Virginia
123,3219.0,174.0,0.0,4.0,3602.0,29.0,506.0,54.0,383.0,452.0,5.0,28.0,28.0,33.0,tevin-coleman-1,Tevin Coleman,Indiana
124,1249.0,72.0,2.0,2.0,1653.0,12.0,334.0,39.0,404.0,295.0,3.0,10.0,12.0,36.0,spencer-ware-1,Spencer Ware,LSU
125,2586.0,156.0,8.0,2.0,4093.0,26.0,673.0,168.0,1507.0,505.0,4.0,18.0,26.0,47.0,josh-ferguson-3,Josh Ferguson,Illinois
126,4287.0,210.0,0.0,1.0,4690.0,35.0,816.0,41.0,403.0,775.0,2.0,35.0,35.0,37.0,brian-hill-4,Brian Hill,Wyoming
127,3873.0,288.0,0.0,0.0,4089.0,48.0,766.0,29.0,216.0,737.0,1.0,48.0,48.0,39.0,benjamin-snell-jr-1,Benjamin Snell Jr.,Kentucky
128,3201.0,132.0,2.0,1.0,3537.0,22.0,521.0,41.0,336.0,480.0,2.0,20.0,22.0,37.0,josh-adams-2,Josh Adams,Notre Dame
129,2250.0,150.0,1.0,2.0,2846.0,25.0,485.0,65.0,596.0,420.0,3.0,24.0,25.0,39.0,mike-boone-2,Mike Boone,Cincinnati
130,4185.0,282.0,0.0,16.0,4784.0,47.0,853.0,75.0,599.0,778.0,18.0,47.0,47.0,50.0,zach-line-1,Zach Line,SMU
131,1751.0,90.0,1.0,1.0,2073.0,15.0,311.0,32.0,322.0,279.0,1.0,14.0,15.0,38.0,jordan-wilkins-1,Jordan Wilkins,Ole Miss
132,2773.0,138.0,2.0,1.0,3395.0,23.0,640.0,80.0,622.0,560.0,2.0,21.0,23.0,23.0,devontae-booker-1,Devontae Booker,Utah
133,2635.0,126.0,2.0,3.0,2953.0,21.0,377.0,29.0,318.0,348.0,6.0,17.0,19.0,43.0,ty-johnson-1,Ty Johnson,Maryland
134,2481.0,198.0,6.0,0.0,3333.0,33.0,515.0,92.0,852.0,423.0,1.0,25.0,31.0,23.0,giovani-bernard-1,Giovani Bernard,North Carolina
135,262.0,12.0,1.0,1.0,478.0,2.0,54.0,21.0,216.0,33.0,1.0,1.0,2.0,12.0,olamide-zaccheaus-1,Olamide Zaccheaus,Virginia
136,2086.0,150.0,5.0,1.0,2761.0,25.0,480.0,83.0,675.0,397.0,2.0,19.0,24.0,41.0,jalen-richard-1,Jalen Richard,Southern Mississippi
137,2424.0,264.0,6.0,3.0,2948.0,44.0,503.0,50.0,524.0,453.0,5.0,37.0,43.0,45.0,latavius-murray-1,Latavius Murray,UCF
138,1995.0,78.0,1.0,16.0,2400.0,13.0,371.0,37.0,405.0,334.0,22.0,12.0,13.0,33.0,travis-homer-1,Travis Homer,Miami (FL)
139,4287.0,408.0,1.0,3.0,4684.0,67.0,765.0,51.0,397.0,714.0,4.0,66.0,67.0,38.0,devin-singletary-1,Devin Singletary,Florida Atlantic
140,4769.0,288.0,4.0,0.0,5130.0,48.0,789.0,31.0,361.0,758.0,0.0,44.0,48.0,47.0,nick-chubb-1,Nick Chubb,Georgia
141,3843.0,318.0,8.0,1.0,5038.0,53.0,773.0,102.0,1195.0,671.0,1.0,43.0,51.0,38.0,saquon-barkley-1,Saquon Barkley,Penn State
143,3775.0,236.0,3.0,12.0,4859.0,39.0,882.0,117.0,1084.0,765.0,13.0,36.0,39.0,51.0,phillip-lindsay-1,Phillip Lindsay,Colorado
144,4588.0,288.0,7.0,1.0,5278.0,48.0,886.0,73.0,690.0,813.0,1.0,39.0,46.0,53.0,ameer-abdullah-1,Ameer Abdullah,Nebraska
