,points,receiving_touchdowns,total_touchdowns,plays_from_scrimmage,receiving_yards,receptions,yards_from_scrimmage,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
82,6.0,1.0,1.0,20.0,288.0,20.0,288.0,1.0,24.0,richard-rodgers-1,Richard Rodgers,California
83,114.0,19.0,19.0,82.0,1083.0,78.0,1083.0,19.0,30.0,noah-fant-1,Noah Fant,Iowa
85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,hunter-bradley-1,Hunter Bradley,Mississippi State
86,108.0,18.0,18.0,179.0,2001.0,178.0,2006.0,18.0,43.0,jonnu-smith-1,Jonnu Smith,Florida International
87,36.0,6.0,6.0,56.0,585.0,55.0,584.0,6.0,37.0,nick-vannett-1,Nick Vannett,Ohio State
88,78.0,13.0,13.0,70.0,1011.0,70.0,1011.0,13.0,36.0,pharaoh-brown-1,Pharaoh Brown,Oregon
89,12.0,2.0,2.0,29.0,288.0,28.0,290.0,2.0,13.0,dan-vitale-1,Dan Vitale,Northwestern
91,66.0,11.0,11.0,73.0,921.0,71.0,926.0,11.0,39.0,jeremy-sprinkle-1,Jeremy Sprinkle,Arkansas
92,68.0,11.0,11.0,83.0,1159.0,83.0,1159.0,11.0,28.0,tyler-conklin-1,Tyler Conklin,Central Michigan
93,60.0,9.0,10.0,74.0,1080.0,73.0,1084.0,10.0,23.0,tj-hockenson-1,T.J. Hockenson,Iowa
94,24.0,4.0,4.0,59.0,547.0,59.0,547.0,4.0,40.0,eric-tomlinson-1,Eric Tomlinson,UTEP
95,26.0,4.0,4.0,27.0,288.0,27.0,288.0,4.0,36.0,jason-peters-3,Jason Peters,Arkansas
96,42.0,7.0,7.0,99.0,1067.0,98.0,1074.0,7.0,30.0,josh-oliver-1,Josh Oliver,San Jose State
97,42.0,7.0,7.0,70.0,1049.0,70.0,1049.0,7.0,20.0,kaden-smith-1,Kaden Smith,Stanford
98,48.0,8.0,8.0,85.0,956.0,85.0,956.0,8.0,52.0,luke-stocker-1,Luke Stocker,Tennessee
99,30.0,5.0,5.0,44.0,532.0,44.0,532.0,5.0,42.0,ben-koyack-1,Ben Koyack,Notre Dame
100,6.0,1.0,1.0,14.0,232.0,14.0,232.0,1.0,10.0,alex-ellis-1,Alex Ellis,Tennessee
102,60.0,10.0,10.0,116.0,1500.0,116.0,1500.0,10.0,48.0,ryan-griffin-1,Ryan Griffin,Connecticut
103,48.0,8.0,8.0,114.0,1805.0,112.0,1812.0,8.0,34.0,eric-ebron-1,Eric Ebron,North Carolina
104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,chase-winovich-1,Chase Winovich,Michigan
105,36.0,6.0,6.0,52.0,629.0,52.0,629.0,6.0,30.0,foster-moreau-1,Foster Moreau,LSU
