,tackles_for_loss,solo_tackles,passes_defended,assists_on_tackles,total_tackles,sacks,fumbles_forced,games,player_id,name,team_abbreviation
129,42.0,81.0,10.0,73.0,154.0,20.5,2.0,39.0,john-simon-2,John Simon,Ohio State
130,17.0,57.0,4.0,96.0,153.0,6.0,1.0,50.0,dontavius-russell-1,Dontavius Russell,Auburn
131,35.5,67.0,3.0,91.0,158.0,14.0,4.0,42.0,daeshon-hall-1,Daeshon Hall,Texas A&M
132,26.0,80.0,5.0,115.0,195.0,16.0,4.0,51.0,tyson-alualu-1,Tyson Alualu,California
133,0.0,3.0,0.0,1.0,4.0,0.0,0.0,7.0,demar-dotson-1,Demar Dotson,Southern Mississippi
134,18.0,60.0,5.0,57.0,117.0,14.5,1.0,35.0,wes-horton-1,Wes Horton,USC
136,0.0,1.0,0.0,0.0,1.0,0.0,0.0,13.0,casey-kreiter-1,Casey Kreiter,Iowa
137,21.5,75.0,3.0,74.0,149.0,9.5,0.0,51.0,greg-gaines-2,Greg Gaines,Washington
138,1.0,8.0,0.0,7.0,15.0,1.0,0.0,13.0,mychal-kendricks-1,Mychal Kendricks,California
139,10.5,42.0,2.0,45.0,87.0,4.0,1.0,20.0,arik-armstead-1,Arik Armstead,Oregon
140,5.0,39.0,5.0,63.0,102.0,3.0,1.0,35.0,daron-payne-1,Daron Payne,Alabama
141,49.5,125.0,2.0,90.0,215.0,24.0,0.0,54.0,ndamukong-suh-1,Ndamukong Suh,Nebraska
142,13.5,31.0,0.0,33.0,64.0,8.0,0.0,13.0,leonard-williams-1,Leonard Williams,USC
143,14.5,30.0,1.0,41.0,71.0,9.0,1.0,34.0,dashawn-hand-1,Da'Shawn Hand,Alabama
144,26.5,46.0,3.0,37.0,83.0,15.5,2.0,31.0,tyquan-lewis-1,Tyquan Lewis,Ohio State
145,49.0,111.0,4.0,128.0,239.0,26.5,10.0,45.0,vinny-curry-1,Vinny Curry,Marshall
146,24.0,46.0,10.0,50.0,96.0,8.0,1.0,24.0,kareem-martin-1,Kareem Martin,North Carolina
148,15.0,74.0,2.0,123.0,197.0,4.0,3.0,30.0,mike-purcell-1,Mike Purcell,Wyoming
149,18.5,54.0,4.0,58.0,112.0,6.0,3.0,13.0,sheldon-richardson-1,Sheldon Richardson,Missouri
151,18.5,54.0,3.0,59.0,113.0,12.5,0.0,34.0,jaleel-johnson-1,Jaleel Johnson,Iowa
152,32.5,93.0,8.0,44.0,137.0,21.0,8.0,49.0,sam-acho-1,Sam Acho,Texas
153,26.0,56.0,1.0,35.0,91.0,10.0,0.0,24.0,quinnen-williams-1,Quinnen Williams,Alabama
154,7.0,34.0,5.0,36.0,70.0,2.0,0.0,24.0,shamar-stephen-1,Shamar Stephen,Connecticut
155,15.0,33.0,3.0,67.0,100.0,5.0,4.0,25.0,jeffery-simmons-1,Jeffery Simmons,Mississippi State
157,19.0,43.0,7.0,44.0,87.0,8.5,1.0,23.0,jeremiah-valoaga-1,Jeremiah Valoaga,UNLV
158,13.0,47.0,3.0,57.0,104.0,5.5,4.0,24.0,jihad-ward-1,Jihad Ward,Illinois
159,6.5,29.0,2.0,50.0,79.0,1.0,0.0,30.0,shy-tuttle-1,Shy Tuttle,Tennessee
160,45.0,116.0,3.0,81.0,197.0,26.5,5.0,25.0,damontre-moore-1,Damontre Moore,Texas A&M
161,1.0,5.0,0.0,8.0,13.0,0.0,0.0,0.0,carlos-watkins-1,Carlos Watkins,Clemson
163,5.0,13.0,2.0,22.0,35.0,2.0,2.0,13.0,brent-urban-1,Brent Urban,Virginia
164,21.0,103.0,0.0,67.0,170.0,14.0,4.0,44.0,folorunso-fatukasi-1,Folorunso Fatukasi,Connecticut
165,18.0,49.0,5.0,21.0,70.0,10.0,8.0,35.0,benson-mayowa-1,Benson Mayowa,Idaho
166,9.0,32.0,2.0,39.0,71.0,1.0,0.0,23.0,dremont-jones-1,Dre'Mont Jones,Ohio State
167,11.5,59.0,0.0,20.0,79.0,4.5,0.0,23.0,josh-tupou-1,Josh Tupou,Colorado
168,30.0,62.0,13.0,80.0,142.0,10.0,2.0,23.0,william-gholston-1,William Gholston,Michigan State
169,36.0,109.0,10.0,123.0,232.0,18.0,2.0,53.0,deforest-buckner-1,Deforest Buckner,Oregon
170,35.5,57.0,3.0,33.0,90.0,21.0,8.0,13.0,jadeveon-clowney-1,Jadeveon Clowney,South Carolina
171,6.0,27.0,1.0,29.0,56.0,2.5,1.0,36.0,steve-mclendon-1,Steve McLendon,Troy
172,32.0,91.0,8.0,50.0,141.0,7.5,2.0,34.0,sheldon-day-1,Sheldon Day,Notre Dame
173,15.0,31.0,1.0,63.0,94.0,3.5,0.0,32.0,carl-davis-3,Carl Davis,Iowa
174,28.0,60.0,4.0,52.0,112.0,16.5,0.0,53.0,margus-hunt-1,Margus Hunt,SMU
175,22.0,51.0,5.0,82.0,133.0,9.0,1.0,39.0,ashawn-robinson-1,A'Shawn Robinson,Alabama
