,tackles_for_loss,solo_tackles,passes_defended,fumbles_recovered,assists_on_tackles,total_tackles,yards_recovered_from_fumble,games,player_id,name,team_abbreviation
85,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,greg-robinson-3,Greg Robinson,Auburn
86,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,michael-deiter-1,Michael Deiter,Wisconsin
87,0.0,2.0,0.0,0.0,2.0,4.0,0.0,21.0,brandon-brooks-1,Brandon Brooks,Miami (OH)
88,0.0,0.0,0.0,0.0,5.0,5.0,0.0,37.0,charley-hughlett-1,Charley Hughlett,UCF
90,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,ereck-flowers-1,Ereck Flowers,Miami (FL)
91,0.0,1.0,0.0,0.0,1.0,2.0,0.0,26.0,cordy-glenn-1,Cordy Glenn,Georgia
92,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,jamon-brown-1,Jamon Brown,Louisville
94,0.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,tony-bergstrom-1,Tony Bergstrom,Utah
96,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,kolton-miller-1,Kolton Miller,UCLA
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,dion-dawkins-1,Dion Dawkins,Temple
98,0.0,2.0,0.0,0.0,1.0,3.0,0.0,14.0,james-winchester-1,James Winchester,Oklahoma
99,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,jamil-douglas-1,Jamil Douglas,Arizona State
100,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,trenton-brown-1,Trenton Brown,Florida
101,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,aj-cann-1,A.J. Cann,South Carolina
104,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,cody-whitehair-1,Cody Whitehair,Kansas State
105,0.0,2.0,0.0,0.0,0.0,2.0,0.0,37.0,bradley-sowell-1,Bradley Sowell,Ole Miss
107,0.0,4.0,0.0,0.0,3.0,7.0,0.0,26.0,josh-harris-4,Josh Harris,Auburn
108,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,frank-ragnow-1,Frank Ragnow,Arkansas
109,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,quinton-spain-1,Quinton Spain,West Virginia
110,0.0,1.0,0.0,0.0,0.0,1.0,0.0,13.0,dj-fluker-1,D.J. Fluker,Alabama
111,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,taylor-decker-1,Taylor Decker,Ohio State
112,1.0,8.0,2.0,0.0,2.0,10.0,0.0,4.0,coleman-shelton-1,Coleman Shelton,Washington
113,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,rob-havenstein-1,Rob Havenstein,Wisconsin
114,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,max-scharping-1,Max Scharping,Northern Illinois
