,points,receiving_touchdowns,total_touchdowns,fumbles_recovered,receptions,plays_from_scrimmage,receiving_yards,total_tackles,yards_from_scrimmage,rushing_and_receiving_touchdowns,games,player_id,name,team_abbreviation
51,228.0,38.0,38.0,1.0,233.0,233.0,3031.0,1.0,3031.0,38.0,26.0,davante-adams-1,Davante Adams,Fresno State
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,7.0,isaiah-oliver-1,Isaiah Oliver,Colorado
54,174.0,27.0,29.0,0.0,240.0,292.0,3391.0,3.0,3730.0,28.0,36.0,sammy-watkins-1,Sammy Watkins,Clemson
55,102.0,15.0,17.0,0.0,143.0,166.0,1768.0,16.0,1978.0,17.0,43.0,parris-campbell-1,Parris Campbell,Ohio State
56,30.0,3.0,5.0,0.0,127.0,137.0,1097.0,9.0,1121.0,4.0,52.0,adam-humphries-1,Adam Humphries,Clemson
58,48.0,8.0,8.0,0.0,62.0,62.0,910.0,1.0,910.0,8.0,22.0,javon-wims-1,Javon Wims,Georgia
59,66.0,7.0,11.0,0.0,120.0,166.0,1364.0,4.0,1769.0,10.0,50.0,marquise-goodwin-1,Marquise Goodwin,Texas
60,156.0,24.0,26.0,0.0,189.0,195.0,2662.0,0.0,2674.0,26.0,33.0,john-ursua-1,John Ursua,Hawaii
61,156.0,24.0,26.0,0.0,226.0,287.0,3272.0,5.0,3612.0,26.0,38.0,brandin-cooks-1,Brandin Cooks,Oregon State
62,12.0,2.0,2.0,0.0,26.0,26.0,287.0,1.0,287.0,2.0,13.0,jordan-akins-1,Jordan Akins,UCF
63,54.0,9.0,9.0,0.0,51.0,51.0,971.0,2.0,971.0,9.0,33.0,darren-waller-1,Darren Waller,Georgia Tech
64,102.0,7.0,17.0,0.0,60.0,97.0,823.0,1.0,1152.0,11.0,33.0,isaiah-mckenzie-1,Isaiah McKenzie,Georgia
65,102.0,17.0,17.0,0.0,177.0,183.0,2479.0,1.0,2515.0,17.0,35.0,allen-robinson-1,Allen Robinson,Penn State
66,72.0,11.0,12.0,0.0,133.0,171.0,1667.0,4.0,1850.0,12.0,49.0,darius-jennings-1,Darius Jennings,Virginia
67,78.0,11.0,13.0,0.0,93.0,109.0,1341.0,4.0,1443.0,12.0,43.0,bennie-fowler-1,Bennie Fowler,Michigan State
