,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2016,,0,,0,0,0,0,,5.0,5-11,0,0,,0,Jordon Brown,,,0,,,,,jordon-brown-1,21,6,RB,0,,0,15,15.0,1,20,1,45,2.3,1,0.0,,2016,0,0.0,North Carolina,0,1,,200,60,2.9,,0,,FR
2017,,0,,0,0,0,0,,12.0,5-11,0,0,,0,Jordon Brown,,,0,,,,,jordon-brown-1,167,24,RB,0,,0,237,8.2,29,138,4,613,4.4,4,0.0,,2017,0,0.0,North Carolina,0,4,,200,850,5.1,,0,,SO
2018,,0,,0,0,0,0,,11.0,5-11,0,0,,0,Jordon Brown,,,0,,,,,jordon-brown-1,97,18,RB,0,,0,90,5.6,16,81,3,347,4.3,3,0.0,,2018,1,0.0,North Carolina,1,3,,200,437,4.5,,0,,JR
2019,,0,,0,0,0,0,,11.0,5-11,0,0,,0,Jordon Brown,,,0,,,,,jordon-brown-1,98,24,RB,0,,0,138,9.9,14,84,4,380,4.5,4,0.0,,2019,0,0.0,Kansas State,0,4,,200,518,5.3,,0,,SR
Career,,0,,0,0,0,0,,,5-11,0,0,,0,Jordon Brown,,,0,,,,,jordon-brown-1,383,72,RB,0,,0,480,8.0,60,323,12,1385,4.3,12,0.0,,Career,1,0.0,Overall,1,12,,200,1865,4.9,,0,,
