,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,,0,0,0,,,,12.0,5-9,,,0,0,Sean Savoy,,0,,,0,0,,sean-savoy-1,63,36,WR,0,,4,454,11.6,39,24,2,116,4.8,6,,,2017,,,Virginia Tech,,6.0,,184,570,9.0,,,,FR
2018,0.0,,0,0,0,,,,9.0,5-9,,,0,0,Sean Savoy,,1,,0.0,0,0,0.0,sean-savoy-1,26,12,WR,0,0.0,2,188,10.4,18,8,0,5,0.6,2,,,2018,,,Virginia Tech,,2.0,,184,193,7.4,,,,SO
2019,,,0,0,0,,,,5.0,5-9,,,0,0,Sean Savoy,,0,,,0,0,,sean-savoy-1,6,0,DB,0,,0,56,9.3,6,0,0,0,,0,,,2019,,,Maryland,,,,184,56,9.3,,,,JR
Career,0.0,,0,0,0,,,,,5-9,,,0,0,Sean Savoy,,1,,0.0,0,0,0.0,sean-savoy-1,95,48,DB,0,0.0,6,698,11.1,63,32,2,121,3.8,8,,,Career,,,Overall,,8.0,,184,819,8.6,,,,
