,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,,,0,0,,,,11.0,5-10,,,,0,Trey Ragas,,,,,,,,trey-ragas-1,151,54,RB,0,,0,32,3.6,9,142,9,813,5.7,9,,,2017,,,Louisiana,,9,,218,845,5.6,,,,FR
2018,,,,0,0,,,,14.0,5-10,,,,0,Trey Ragas,,,,,,,,trey-ragas-1,232,60,RB,0,,2,229,9.2,25,207,8,1181,5.7,10,,,2018,,,Louisiana,,10,,218,1410,6.1,,,,SO
2019,,,,0,0,,,,13.0,5-10,,,,0,Trey Ragas,,,,,,,,trey-ragas-1,122,72,RB,0,,1,60,10.0,6,116,11,820,7.1,12,,,2019,,,Louisiana,,12,,218,880,7.2,,,,JR
Career,,,,0,0,,,,,5-10,,,,0,Trey Ragas,,,,,,,,trey-ragas-1,505,186,RB,0,,3,321,8.0,40,465,28,2814,6.1,31,,,Career,,,Louisiana,,31,,218,3135,6.2,,,,
