,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2018,22.0,,1,0,0,,,,3.0,6-1,,,0,0,James Graham,,1,,100.0,0,22,22.0,james-graham-1,5,0,QB,0,284.8,0,0,,0,5,0,27,5.4,0,,,2018,,,Georgia Tech,,0,,192,27,5.4,,,,FR
2019,5.6,,87,0,0,,,,11.0,6-1,,,7,0,James Graham,,193,,45.1,12,1164,6.0,james-graham-1,99,18,QB,0,109.0,0,0,,0,99,3,290,2.9,3,,,2019,,,Georgia Tech,,3,,192,290,2.9,,,,FR
Career,5.7,,88,0,0,,,,,6-1,,,7,0,James Graham,,194,,45.4,12,1186,6.1,james-graham-1,104,18,QB,0,109.9,0,0,,0,104,3,317,3.0,3,,,Career,,,Georgia Tech,,3,,192,317,3.0,,,,
