,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,13,,,,0,0,,11.0,6-0,0,0,,,Tre Webb,,,1,,,,,tre-webb-1,,,CB,,,,,,,,,,,,0.0,,2017,18,2.0,San Jose State,31,,,199,,,,0,,FR
2018,,32,,,,1,0,,10.0,6-0,0,0,,,Tre Webb,,,6,,,,,tre-webb-1,,,CB,,,,,,,,,,,,0.5,,2018,40,1.0,San Jose State,72,,,199,,,,0,,SO
2019,,23,,,,1,0,,12.0,6-0,1,0,,,Tre Webb,,,0,,,,,tre-webb-1,,,CB,,,,,,,,,,,,0.0,,2019,35,1.0,San Jose State,58,,,199,,,,0,0.0,JR
Career,,68,,,,2,0,,,6-0,1,0,,,Tre Webb,,,7,,,,,tre-webb-1,,,CB,,,,,,,,,,,,0.5,,Career,93,4.0,San Jose State,161,,,199,,,,0,0.0,
