,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2016,,2,,,,0,0,,4.0,6-0,0,0,,,Leni Toailoa,,,0,,,,,leni-toailoa-1,,,DB,,,,,,,,,,,,0.0,,2016,3,0.5,UCLA,5,,,214,,,,0,,FR
2017,,2,,,,0,0,,3.0,6-0,0,0,,,Leni Toailoa,,,0,,,,,leni-toailoa-1,,,LB,,,,,,,,,,,,0.0,,2017,6,1.0,UCLA,8,,,214,,,,0,,FR
2018,,16,,,,0,0,,11.0,6-0,0,0,,,Leni Toailoa,,,0,,,,,leni-toailoa-1,,,LB,,,,,,,,,,,,1.0,,2018,20,1.0,UCLA,36,,,214,,,,0,,SO
2019,,16,,,,0,0,,11.0,6-0,0,0,,,Leni Toailoa,,,1,,,,,leni-toailoa-1,,,LB,,,,,,,,,,,,2.5,,2019,17,7.0,UCLA,33,,,214,,,,0,,JR
Career,,36,,,,0,0,,,6-0,0,0,,,Leni Toailoa,,,1,,,,,leni-toailoa-1,,,LB,,,,,,,,,,,,3.5,,Career,46,9.5,UCLA,82,,,214,,,,0,,
