,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,20,,,,0,0,,11.0,6-1,0,0,,,Joey Blount,,,1,,,,,joey-blount-1,,,S,,,,,,,,,,,,0.0,,2017,14,0.5,Virginia,34,,,190,,,,0,,FR
2018,,25,,,,2,0,,11.0,6-1,2,0,,,Joey Blount,,,3,,,,,joey-blount-1,,,S,,,,,,,,,,,,0.0,,2018,38,5.0,Virginia,63,,,190,,,,31,15.5,SO
2019,,35,,,,0,1,,14.0,6-1,3,0,,,Joey Blount,,,3,,,,,joey-blount-1,,,S,,,,,,,,,,,,3.5,,2019,60,6.5,Virginia,95,,,190,,,,66,22.0,JR
Career,,80,,,,2,1,,,6-1,5,0,,,Joey Blount,,,7,,,,,joey-blount-1,,,S,,,,,,,,,,,,3.5,,Career,112,12.0,Virginia,192,,,190,,,,97,19.4,
