,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2016,,3,,,,0,0,,4.0,6-4,0,0,,,Markell Utsey,,,0,,,,,markell-utsey-1,0,,DL,,,0,0,,0,0,0,0,,0,0.0,,2016,2,0.0,Missouri,5,,,295,0,,,0,,FR
2017,,3,,,,0,0,,6.0,6-4,0,0,,,Markell Utsey,,,0,,,,,markell-utsey-1,1,,DL,,,0,0,,0,1,0,2,2.0,0,1.0,,2017,3,1.0,Missouri,6,,,295,2,2.0,,0,,SO
2018,,0,,,,0,0,,2.0,6-4,0,0,,,Markell Utsey,,,0,,,,,markell-utsey-1,0,,DL,,,0,0,,0,0,0,0,,0,0.0,,2018,1,0.0,Missouri,1,,,295,0,,,0,,JR
2019,,4,,,,1,0,,8.0,6-4,0,0,,,Markell Utsey,,,0,,,,,markell-utsey-1,0,,DL,,,0,0,,0,0,0,0,,0,0.0,,2019,5,1.0,Missouri,9,,,295,0,,,0,,JR
Career,,10,,,,1,0,,,6-4,0,0,,,Markell Utsey,,,0,,,,,markell-utsey-1,1,,DL,,,0,0,,0,1,0,2,2.0,0,1.0,,Career,11,2.0,Missouri,21,,,295,2,2.0,,0,,
