,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,8,,,,0,0,,5.0,6-3,0,0,,,Rahssan Thornton,,,1,,,,,rahssan-thornton-1,,,LB,,,,,,,,,,,,0.0,,2017,2,1.0,LSU,10,,,227,,,,0,,FR
2018,,14,,,,0,0,,7.0,6-3,0,0,,,Rahssan Thornton,,,0,,,,,rahssan-thornton-1,,,LB,,,,,,,,,,,,1.0,,2018,7,2.5,LSU,21,,,227,,,,0,,SO
2019,,6,,,,0,1,,5.0,6-3,0,0,,,Rahssan Thornton,,,0,,,,,rahssan-thornton-1,,,LB,,,,,,,,,,,,0.0,,2019,3,0.0,LSU,9,,,227,,,,0,,JR
Career,,28,,,,0,1,,,6-3,0,0,,,Rahssan Thornton,,,1,,,,,rahssan-thornton-1,,,LB,,,,,,,,,,,,1.0,,Career,12,3.5,LSU,40,,,227,,,,0,,
