,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2016,,2,,,,0,0,,3.0,6-2,0,0,,,Cole Christiansen,,,0,,,,,cole-christiansen-1,,,LB,,,,,,,,,,,,0.0,,2016,0,0.0,Army,2,,,225,,,,0,,FR
2017,,36,,,,0,0,,13.0,6-2,1,0,,,Cole Christiansen,,,1,,,,,cole-christiansen-1,,,LB,,,,,,,,,,,,0.0,,2017,48,5.0,Army,84,,,225,,,,7,7.0,SO
2018,,35,,,,1,0,,13.0,6-2,0,0,,,Cole Christiansen,,,2,,,,,cole-christiansen-1,,,LB,,,,,,,,,,,,1.0,,2018,42,12.0,Army,77,,,225,,,,0,,JR
2019,,49,,,,2,1,,12.0,6-2,0,0,,,Cole Christiansen,,,1,,,,,cole-christiansen-1,,,LB,,,,,,,,,,,,2.5,,2019,63,3.5,Army,112,,,225,,,,0,,SR
Career,,122,,,,3,1,,,6-2,1,0,,,Cole Christiansen,,,4,,,,,cole-christiansen-1,,,LB,,,,,,,,,,,,3.5,,Career,153,20.5,Army,275,,,225,,,,7,7.0,
