,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2018,,0,0,0,0,0,0,,12.0,6-0,0,0,0,0,Rakeem Boyd,,0,0,,0,0,,rakeem-boyd-2,146,12,RB,0,,0,165,7.2,23,123,2,734,6.0,2,0.0,,2018,0,0.0,Arkansas,0,2,,213,899,6.2,,0,,SO
2019,1.0,0,1,0,0,1,0,,12.0,6-0,0,0,0,0,Rakeem Boyd,,1,0,100.0,0,1,1.0,rakeem-boyd-2,203,48,RB,0,108.4,0,160,8.4,19,184,8,1133,6.2,8,0.0,,2019,2,0.0,Arkansas,2,8,,213,1293,6.4,,0,,JR
Career,1.0,0,1,0,0,1,0,,,6-0,0,0,0,0,Rakeem Boyd,,1,0,100.0,0,1,1.0,rakeem-boyd-2,349,60,RB,0,108.4,0,325,7.7,42,307,10,1867,6.1,10,0.0,,Career,2,0.0,Arkansas,2,10,,213,2192,6.3,,0,,
