,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,0,,0,0,0,0,,6.0,6-4,0,0,,0,Drew Rosi,,,0,,,,,drew-rosi-1,6,0,TE,0,,0,90,15.0,6,0,0,0,,0,0.0,,2017,0,0.0,Toledo,0,0,,240,90,15.0,,0,,FR
2018,,0,,0,0,0,0,,8.0,6-4,0,0,,0,Drew Rosi,,,0,,,,,drew-rosi-1,10,0,TE,0,,0,120,12.0,10,0,0,0,,0,0.0,,2018,1,0.0,Toledo,1,0,,240,120,12.0,,0,,SO
2019,,0,,0,0,0,0,,9.0,6-4,0,0,,0,Drew Rosi,,,0,,,,,drew-rosi-1,18,12,TE,0,,2,238,13.2,18,0,0,0,,2,0.0,,2019,0,0.0,Toledo,0,2,,240,238,13.2,,0,,JR
Career,,0,,0,0,0,0,,,6-4,0,0,,0,Drew Rosi,,,0,,,,,drew-rosi-1,34,12,TE,0,,2,448,13.2,34,0,0,0,,2,0.0,,Career,1,0.0,Toledo,1,2,,240,448,13.2,,0,,
