,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,2,,,,0,0,,5.0,6-2,0,0,,,Derrick Tangelo,,,0,,,,,derrick-tangelo-1,,,DT,,,,,,,,,,,,1.0,,2017,4,2.0,Duke,6,,,285,,,,0,,FR
2018,,26,,,,2,0,,11.0,6-2,0,0,,,Derrick Tangelo,,,0,,,,,derrick-tangelo-1,,,DT,,,,,,,,,,,,1.5,,2018,20,4.5,Duke,46,,,285,,,,0,,SO
2019,,12,,,,0,0,,10.0,6-2,0,0,,,Derrick Tangelo,,,0,,,,,derrick-tangelo-1,,,DT,,,,,,,,,,,,0.0,,2019,11,2.0,Duke,23,,,285,,,,0,,JR
Career,,40,,,,2,0,,,6-2,0,0,,,Derrick Tangelo,,,0,,,,,derrick-tangelo-1,,,DT,,,,,,,,,,,,2.5,,Career,35,8.5,Duke,75,,,285,,,,0,,
