,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2015,,,,,,,,,,6-4,,,,,Aaron Young,,,,,,,,aaron-young-3,0,0,WR,,,,,,,,,,,0,,,2015,,,Duke,,0,,210,0,,,,,FR
2016,,0.0,0.0,0.0,0.0,0.0,0.0,,5.0,6-4,0.0,0.0,0.0,0.0,Aaron Young,,0.0,0.0,,0.0,0.0,,aaron-young-3,11,12,WR,0.0,,2.0,124.0,11.3,11.0,0.0,0.0,0.0,,2,0.0,,2016,0.0,0.0,Duke,0.0,2,,210,124,11.3,,0.0,,FR
2017,,0.0,0.0,0.0,0.0,0.0,0.0,,6.0,6-4,0.0,0.0,0.0,0.0,Aaron Young,,0.0,0.0,,0.0,0.0,,aaron-young-3,16,6,WR,0.0,,1.0,219.0,13.7,16.0,0.0,0.0,0.0,,1,0.0,,2017,0.0,0.0,Duke,0.0,1,,210,219,13.7,,0.0,,SO
2018,,0.0,0.0,0.0,0.0,0.0,0.0,,2.0,6-4,0.0,0.0,0.0,0.0,Aaron Young,,0.0,0.0,,0.0,0.0,,aaron-young-3,7,6,WR,0.0,,1.0,139.0,19.9,7.0,0.0,0.0,0.0,,1,0.0,,2018,0.0,0.0,Duke,0.0,1,,210,139,19.9,,0.0,,JR
2019,-22.5,0.0,0.0,0.0,0.0,0.0,0.0,,10.0,6-4,0.0,0.0,1.0,0.0,Aaron Young,,2.0,0.0,0.0,0.0,0.0,0.0,aaron-young-3,29,18,WR,0.0,-100.0,3.0,367.0,12.7,29.0,0.0,0.0,0.0,,3,0.0,,2019,2.0,0.0,Duke,2.0,3,,210,367,12.7,,0.0,,SR
Career,-22.5,0.0,0.0,0.0,0.0,0.0,0.0,,,6-4,0.0,0.0,1.0,0.0,Aaron Young,,2.0,0.0,0.0,0.0,0.0,0.0,aaron-young-3,63,42,WR,0.0,-100.0,7.0,849.0,13.5,63.0,0.0,0.0,0.0,,7,0.0,,Career,2.0,0.0,Duke,2.0,7,,210,849,13.5,,0.0,,
