,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2015,,,,,,,,,,6-2,,,,,C.J. Johnson,,,,,,,,cj-johnson-4,0,0,WR,,,,,,,,,,,0,,,2015,,,Wyoming,,0.0,,209,0,,,,,FR
2016,,0.0,,0.0,0.0,0.0,0.0,,10.0,6-2,0.0,0.0,,0.0,C.J. Johnson,,,0.0,,,,,cj-johnson-4,21,18,WR,0.0,,3.0,304.0,14.5,21.0,0.0,0.0,0.0,,3,0.0,,2016,0.0,0.0,Wyoming,0.0,3.0,,209,304,14.5,,0.0,,FR
2017,,0.0,,0.0,0.0,0.0,0.0,,12.0,6-2,0.0,0.0,,0.0,C.J. Johnson,,,0.0,,,,,cj-johnson-4,32,42,WR,0.0,,7.0,531.0,17.7,30.0,2.0,0.0,15.0,7.5,7,0.0,,2017,1.0,0.0,Wyoming,1.0,7.0,,209,546,17.1,,0.0,,SO
2019,,,,,,,,,,6-2,,,,,C.J. Johnson,,,,,,,,cj-johnson-4,0,0,WR,,,,,,,,,,,0,,,2019,,,Wyoming,,,,209,0,,,,,SR
Career,,0.0,,0.0,0.0,0.0,0.0,,,6-2,0.0,0.0,,0.0,C.J. Johnson,,,0.0,,,,,cj-johnson-4,53,60,WR,0.0,,10.0,835.0,16.4,51.0,2.0,0.0,15.0,7.5,10,0.0,,Career,1.0,0.0,Wyoming,1.0,10.0,,209,850,16.0,,0.0,,
