,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,8,,,,0,0,,4.0,6-1,1,0,,,Tyshon Fogg,,,0,,,,,tyshon-fogg-1,,,LB,,,,,,,,,,,,0.0,,2017,9,1.0,Rutgers,17,,,237,,,,5,5.0,FR
2018,,33,,,,0,0,,12.0,6-1,0,0,,,Tyshon Fogg,,,0,,,,,tyshon-fogg-1,,,LB,,,,,,,,,,,,0.0,,2018,14,3.0,Rutgers,47,,,237,,,,0,,SO
2019,,55,,,,0,0,,12.0,6-1,0,0,,,Tyshon Fogg,,,1,,,,,tyshon-fogg-1,,,LB,,,,,,,,,,,,1.5,,2019,38,4.0,Rutgers,93,,,237,,,,0,,JR
Career,,96,,,,0,0,,,6-1,1,0,,,Tyshon Fogg,,,1,,,,,tyshon-fogg-1,,,LB,,,,,,,,,,,,1.5,,Career,61,8.0,Rutgers,157,,,237,,,,5,5.0,
