,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2018,,1,,0,0,0,0,,5.0,5-11,0,0,,0,Journey Brown,,,0,,,,,journey-brown-1,9,6,RB,0,,0,9,9.0,1,8,1,44,5.5,1,0.0,,2018,0,0.0,Penn State,1,1,,206,53,5.9,,0,,FR
2019,,0,,0,0,0,0,,13.0,5-11,0,0,,0,Journey Brown,,,0,,,,,journey-brown-1,144,78,RB,0,,1,134,8.9,15,129,12,890,6.9,13,0.0,,2019,0,0.0,Penn State,0,13,,206,1024,7.1,,0,,JR
Career,,1,,0,0,0,0,,,5-11,0,0,,0,Journey Brown,,,0,,,,,journey-brown-1,153,84,RB,0,,1,143,8.9,16,137,13,934,6.8,14,0.0,,Career,0,0.0,Penn State,1,14,,206,1077,7.0,,0,,
