,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,9,,,,2,0,,9.0,6-3,0,0,,,Shaka Toney,,,0,,,,,shaka-toney-1,,,DE,,,,,,,,,,,,3.5,,2017,8,6.0,Penn State,17,,,243,,,,0,,FR
2018,,8,,,,1,0,,10.0,6-3,0,0,,,Shaka Toney,,,2,,,,,shaka-toney-1,,,DE,,,,,,,,,,,,5.0,,2018,15,7.0,Penn State,23,,,243,,,,0,,SO
2019,,27,,,,0,1,,13.0,6-3,0,0,,,Shaka Toney,,,1,,,,,shaka-toney-1,,,DE,,,,,,,,,,,,6.5,,2019,13,8.0,Penn State,40,,,243,,,,0,,SR
Career,,44,,,,3,1,,,6-3,0,0,,,Shaka Toney,,,3,,,,,shaka-toney-1,,,DE,,,,,,,,,,,,15.0,,Career,36,21.0,Penn State,80,,,243,,,,0,,
