,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,,1,,,,0,0,,1.0,5-8,0,0,,,Tyree Jackson,,,0,,,,,tyree-jackson-3,0,,RB,,,0,0,,0,0,0,0,,0,0.0,,2017,0,0.0,UNLV,1,,,175,0,,,0,,FR
2018,,0,,,,0,0,,1.0,5-8,0,0,,,Tyree Jackson,,,1,,,,,tyree-jackson-3,0,,RB,,,0,0,,0,0,0,0,,0,0.0,,2018,2,0.0,UNLV,2,,,175,0,,,0,,SO
2019,,3,,,,0,0,,5.0,5-8,0,0,,,Tyree Jackson,,,0,,,,,tyree-jackson-3,8,,RB,,,0,-1,-0.5,2,6,0,22,3.7,0,0.0,,2019,1,0.0,UNLV,4,,,175,21,2.6,,0,,JR
Career,,4,,,,0,0,,,5-8,0,0,,,Tyree Jackson,,,1,,,,,tyree-jackson-3,8,,RB,,,0,-1,-0.5,2,6,0,22,3.7,0,0.0,,Career,3,0.0,UNLV,7,,,175,21,2.6,,0,,
