,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2016,,2,,,,0,0,,4.0,6-1,0,0,,,Aaron Robinson,,,0,,,,,aaron-robinson-2,,,DB,,,,,,,,,,,,0.0,,2016,3,1.0,Alabama,5,,,193,,,,0,,FR
2018,,0,,,,0,0,,5.0,6-1,0,0,,,Aaron Robinson,,,1,,,,,aaron-robinson-2,,,DB,,,,,,,,,,,,0.0,,2018,8,0.0,UCF,8,,,193,,,,0,,SO
2019,,15,,,,1,0,,12.0,6-1,1,0,,,Aaron Robinson,,,9,,,,,aaron-robinson-2,,,DB,,,,,,,,,,,,0.0,,2019,34,4.5,UCF,49,,,193,,,,40,40.0,JR
Career,,17,,,,1,0,,,6-1,1,0,,,Aaron Robinson,,,10,,,,,aaron-robinson-2,,,DB,,,,,,,,,,,,0.0,,Career,45,5.5,Overall,62,,,193,,,,40,40.0,
