,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2017,4.7,,2,,,,,,2.0,6-3,,,0,,Jacob Huesman,,3,,66.7,0,14,4.7,jacob-huesman-1,2,,QB,,105.9,0,0,,0,2,0,13,6.5,0,,,2017,,,Appalachian State,,,,205,13,6.5,,,,FR
2018,1.7,,21,,,,,,5.0,6-3,,,4,,Jacob Huesman,,38,,55.3,2,206,5.4,jacob-huesman-1,12,,QB,,97.1,0,0,,0,12,0,16,1.3,0,,,2018,,,Appalachian State,,,,205,16,1.3,,,,SO
2019,18.9,,5,,,,,,5.0,6-3,,,0,,Jacob Huesman,,7,,71.4,2,92,13.1,jacob-huesman-1,1,,QB,,276.1,0,0,,0,1,0,1,1.0,0,,,2019,,,Appalachian State,,,,205,1,1.0,,,,JR
Career,4.4,,28,,,,,,,6-3,,,4,,Jacob Huesman,,48,,58.3,4,312,6.5,jacob-huesman-1,15,,QB,,123.8,0,0,,0,15,0,30,2.0,0,,,Career,,,Appalachian State,,,,205,30,2.0,,,,
