,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2018,,0,,,,0,0,,6.0,6-4,0,0,,,Marcus Haynes,,,0,,,,,marcus-haynes-1,,,DE,,,,,,,,,,,,2.0,,2018,7,2.0,Old Dominion,7,,,210,,,,0,,FR
2019,,7,,,,2,1,,10.0,6-4,0,0,,,Marcus Haynes,,,0,,,,,marcus-haynes-1,,,DE,,,,,,,,,,,,3.5,,2019,14,6.5,Old Dominion,21,,,210,,,,0,,SO
Career,,7,,,,2,1,,,6-4,0,0,,,Marcus Haynes,,,0,,,,,marcus-haynes-1,,,DE,,,,,,,,,,,,5.5,,Career,21,8.5,Old Dominion,28,,,210,,,,0,,
