,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2018,,0,,,,0,0,,6.0,6-4,0,0,,,Drayton Law,,,0,,,,,drayton-law-1,8,,WR,,,0,82,10.3,8,0,0,0,,0,0.0,,2018,0,0.0,Central Michigan,0,,,202,82,10.3,,0,,FR
2019,,0,,,,0,0,,4.0,6-4,0,0,,,Drayton Law,,,0,,,,,drayton-law-1,3,,WR,,,0,25,8.3,3,0,0,0,,0,0.0,,2019,1,0.0,Central Michigan,1,,,202,25,8.3,,0,,SO
Career,,0,,,,0,0,,,6-4,0,0,,,Drayton Law,,,0,,,,,drayton-law-1,11,,WR,,,0,107,9.7,11,0,0,0,,0,0.0,,Career,1,0.0,Central Michigan,1,,,202,107,9.7,,0,,
