,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2015,,,,0,0,,,,1.0,6-3,,,,0,Jake Burt,,,,,,,,jake-burt-1,1,0,TE,0,,0,7,7.0,1,0,0,0,,0,,,2015,,,Boston College,,0,,260,7,7.0,,,,FR
2017,,,,0,0,,,,1.0,6-3,,,,0,Jake Burt,,,,,,,,jake-burt-1,1,0,TE,0,,0,5,5.0,1,0,0,0,,0,,,2017,,,Boston College,,0,,260,5,5.0,,,,SO
2018,,,,0,0,,,,5.0,6-3,,,,0,Jake Burt,,,,,,,,jake-burt-1,6,6,TE,0,,1,83,13.8,6,0,0,0,,1,,,2018,,,Boston College,,1,,260,83,13.8,,,,JR
2019,,,,0,0,,,,7.0,6-3,,,,0,Jake Burt,,,,,,,,jake-burt-1,15,6,TE,0,,1,212,14.1,15,0,0,0,,1,,,2019,,,Boston College,,1,,260,212,14.1,,,,SR
Career,,,,0,0,,,,,6-3,,,,0,Jake Burt,,,,,,,,jake-burt-1,23,12,TE,0,,2,307,13.3,23,0,0,0,,2,,,Career,,,Boston College,,2,,260,307,13.3,,,,
