,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2014,,17,,,,1,0,,7.0,6-3,0,0,,,Zach Cunningham,,,2,,,,,zach-cunningham-1,,,LB,,,,,,,,,,,,1.5,,2014,26,5.5,Vanderbilt,43,,,234,,,,0,,FR
2015,,29,,,,3,3,,12.0,6-3,0,0,,,Zach Cunningham,,,1,,,,,zach-cunningham-1,,,LB,,,,,,,,,,,,4.5,,2015,59,14.0,Vanderbilt,88,,,234,,,,0,,SO
2016,,54,,,,2,4,,13.0,6-3,0,0,,,Zach Cunningham,,,3,,,,,zach-cunningham-1,,,LB,,,,,,,,,,,,0.0,,2016,71,16.5,Vanderbilt,125,,,234,,,,0,,JR
Career,,100,,,,6,7,,,6-3,0,0,,,Zach Cunningham,,,6,,,,,zach-cunningham-1,,,LB,,,,,,,,,,,,6.0,,Career,156,36.0,Vanderbilt,256,,,234,,,,0,,
