,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2013,,0,,0,0,0,0,,12.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,149,48,RB,0,,0,33,11.0,3,146,8,799,5.5,8,0.0,,2013,0,0.0,Pitt,0,8,,235,832,5.6,,0,,FR
2014,,0,,0,0,0,0,,13.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,303,156,RB,0,,0,70,14.0,5,298,26,1765,5.9,26,0.0,,2014,1,0.0,Pitt,1,26,,235,1835,6.1,,0,,SO
2015,,0,,0,0,0,0,,1.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,9,12,RB,0,,0,7,7.0,1,8,2,77,9.6,2,0.0,,2015,0,0.0,Pitt,0,2,,235,84,9.3,,0,,JR
2016,,1,,0,0,0,0,,13.0,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,237,122,RB,0,,4,302,14.4,21,216,16,1092,5.1,20,0.0,,2016,0,0.0,Pitt,1,20,1.0,235,1394,5.9,,0,,JR
Career,,1,,0,0,0,0,,,6-2,0,0,,0,James Conner,,,0,,,,,james-conner-1,698,338,RB,0,,4,412,13.7,30,668,52,3733,5.6,56,0.0,,Career,1,0.0,Pitt,2,56,1.0,235,4145,5.9,,0,,
