,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2013,,3,,0,0,0,0,,5.0,6-4,0,0,,0,Johnathan Ford,,,1,,,,,johnathan-ford-1,6,6,RB,0,,0,0,,0,6,1,73,12.2,1,0.0,,2013,2,0.0,Auburn,5,1,,268,73,12.2,,0,,FR
2014,,29,,0,0,1,0,,13.0,6-4,3,0,,0,Johnathan Ford,,,1,,,,,johnathan-ford-1,0,0,DB,0,,0,0,,0,0,0,0,,0,1.0,,2014,64,4.0,Auburn,93,0,,268,0,,,18,6.0,SO
2015,,50,,0,0,2,0,,13.0,6-4,2,1,,0,Johnathan Ford,,,2,,,,,johnathan-ford-1,0,6,DB,0,,0,0,,0,0,0,0,,0,1.0,,2015,68,3.0,Auburn,118,1,,268,0,,,48,24.0,JR
2016,,22,,0,0,0,1,,13.0,6-4,0,0,,0,Johnathan Ford,,,7,,,,,johnathan-ford-1,3,0,TE,0,,0,25,25.0,1,2,0,6,3.0,0,0.0,,2016,42,5.5,Auburn,64,0,,268,31,10.3,,0,,FR
Career,,104,,0,0,3,1,,,6-4,5,1,,0,Johnathan Ford,,,11,,,,,johnathan-ford-1,9,12,TE,0,,0,25,25.0,1,8,1,79,9.9,1,2.0,,Career,176,12.5,Auburn,280,2,,268,104,11.6,,66,13.2,
