,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2015,,17,,0,0,0,0,,10.0,6-2,0,0,,0,Marvell Tell III,,,4,,,,,marvell-tell-iii-1,,0,S,0,,,,,,,,,,,0.0,,2015,19,1.0,USC,36,0,,195,,,,0,,FR
2016,,16,,0,0,0,0,,13.0,6-2,1,0,,0,Marvell Tell III,,,2,,,,,marvell-tell-iii-1,,0,S,0,,,,,,,,,,,0.0,,2016,27,2.0,USC,43,0,,195,,,,0,0.0,SO
2017,,43,,0,0,0,1,,14.0,6-2,3,1,,0,Marvell Tell III,,,2,,,,,marvell-tell-iii-1,,6,S,0,,,,,,,,,,,0.5,,2017,42,2.5,USC,85,1,,195,,,,64,21.3,JR
2018,,17,,0,0,1,0,,10.0,6-2,1,0,,0,Marvell Tell III,,,5,,,,,marvell-tell-iii-1,,0,S,0,,,,,,,,,,,0.0,,2018,39,1.0,USC,56,0,,195,,,,-4,-4.0,SR
Career,,93,,0,0,1,1,,,6-2,5,1,,0,Marvell Tell III,,,13,,,,,marvell-tell-iii-1,,6,S,0,,,,,,,,,,,0.5,,Career,127,6.5,USC,220,1,,195,,,,60,12.0,
