,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2014,,,0,,,,,,13.0,6-6,,,0,,Ryan Winslow,,0,,,0,0,,ryan-winslow-1,,,P,,,,,,,,,,,,,,2014,,,Pitt,,,,225,,,,,,FR
2015,12.0,,1,,,,,,13.0,6-6,,,0,,Ryan Winslow,,1,,100.0,0,12,12.0,ryan-winslow-1,,,P,,200.8,,,,,,,,,,,,2015,,,Pitt,,,,225,,,,,,SO
2016,0.0,,0,,,,,,13.0,6-6,,,0,,Ryan Winslow,,2,,0.0,0,0,0.0,ryan-winslow-1,,,P,,0.0,,,,,,,,,,,,2016,,,Pitt,,,,225,,,,,,JR
2017,35.0,,1,,,,,,12.0,6-6,,,0,,Ryan Winslow,,1,,100.0,1,15,15.0,ryan-winslow-1,,,P,,556.0,,,,,,,,,,,,2017,,,Pitt,,,,225,,,,,,SR
Career,11.8,,2,,,,,,,6-6,,,0,,Ryan Winslow,,4,,50.0,1,27,6.8,ryan-winslow-1,,,P,,189.2,,,,,,,,,,,,Career,,,Pitt,,,,225,,,,,,
