,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
2014,,3,0,0,0,0,0,,12.0,5-11,0,0,0,0,Christian McCaffrey,,0,0,,0,0,,christian-mccaffrey-1,59,12,RB,0,,2,251,14.8,17,42,0,300,7.1,2,0.0,,2014,4,0.0,Stanford,7,2,,202,551,9.3,,0,,FR
2015,26.3,0,2,0,0,0,0,,14.0,5-11,0,0,0,1,Christian McCaffrey,,3,0,66.7,2,39,13.0,christian-mccaffrey-1,382,90,RB,1,395.9,5,645,14.3,45,337,8,2019,6.0,13,0.0,,2015,0,0.0,Stanford,0,15,,202,2664,7.0,,0,,SO
2016,,0,0,0,0,0,0,,11.0,5-11,0,0,0,0,Christian McCaffrey,,0,0,,0,0,,christian-mccaffrey-1,290,96,RB,0,,3,310,8.4,37,253,13,1603,6.3,16,0.0,,2016,0,0.0,Stanford,0,16,,202,1913,6.6,,0,,JR
Career,26.3,3,2,0,0,0,0,,,5-11,0,0,0,1,Christian McCaffrey,,3,0,66.7,2,39,13.0,christian-mccaffrey-1,731,198,RB,1,395.9,10,1206,12.2,99,632,21,3922,6.2,31,0.0,,Career,4,0.0,Stanford,7,33,,202,5128,7.0,,0,,
